feature,coef
Destination Port,-0.4146420013158874
Flow Packets/s,0.02127921057518019
Average Packet Size,0.805790622768577
Flow Duration,0.3193168529560336
SYN Flag Count,-2.1667553556187396
Total Fwd Packets,-86.17384762934354
Total Backward Packets,-114.16756256431806
