TP,TN,FP,FN,Accuracy,Precision_pos,Recall_pos,F1_pos,AUC,model
45735,76789,74246,11656,0.587853722664159,0.38118535434777173,0.796901953267934,0.515695825722211,0.738314446740507,LogisticRegression
57371,151002,33,20,0.99974571310681,0.9994251271688384,0.9996515133034797,0.9995383074175704,0.9997285178228649,DecisionTree
57370,151012,23,21,0.9997888938999933,0.9995992542644574,0.9996340889686536,0.999616671313075,0.9999657834794701,RandomForest
53433,137927,13108,3958,0.9181196203928492,0.8030086713454863,0.9310344827586207,0.8622954523448343,0.9714662252769494,SVM_RBF
57369,151014,21,22,0.9997936917659025,0.9996340825927862,0.9996166646338276,0.9996253735374322,0.9999963627342775,XGBoost
