feature,importance
packets_per_sec,0.1651600918719298
avg_packet_size,0.22866183953825384
dur,0.10883435883624254
rate,0.1247631360440881
sttl,0.24597882208697253
total_fwd_pkts,0.05184098702475693
total_bwd_pkts,0.07476076459775609
