feature,importance
packets_per_sec,0.02727270553747738
avg_packet_size,0.25196073143821063
dur,0.10125103188315997
rate,0.03261675017985228
sttl,0.5075917998428371
total_fwd_pkts,0.03741774320040502
total_bwd_pkts,0.04188923791805765
