TP,TN,FP,FN,Accuracy,Precision_pos,Recall_pos,F1_pos,AUC,model
28537,13357,5243,4398,0.8129232560395847,0.8447898164594435,0.8664642477607408,0.8554897699168104,0.8878985930253628,LogisticRegression
30469,16837,1763,2466,0.9179392645774717,0.9453028046661702,0.9251252466980416,0.935105191277794,0.9217484316615817,DecisionTree
30764,16824,1776,2171,0.92341127389153,0.9454210202827289,0.9340822832852589,0.939717449408171,0.9828352514157079,RandomForest
30485,14163,4437,2450,0.866362666149219,0.8729454212244431,0.9256110520722636,0.8985071547519048,0.9216232902540193,SVM_RBF
29846,17646,954,3089,0.9215484622101484,0.969025974025974,0.9062091999392743,0.9365654663842473,0.9841215607150612,XGBoost
